Tag,AGORA Model Name,TaxTree/NCIB ID,OpACIN-fDNA-001,OpACIN-fDNA-002,OpACIN-fDNA-003,OpACIN-fDNA-004,OpACIN-fDNA-005,OpACIN-fDNA-006,OpACIN-fDNA-007,OpACIN-fDNA-008,OpACIN-fDNA-009,OpACIN-fDNA-010,OpACIN-fDNA-011,OpACIN-fDNA-012,OpACIN-fDNA-013,OpACIN-fDNA-014,OpACIN-fDNA-015,OpACIN-fDNA-016,OpACIN-fDNA-017,OpACIN-fDNA-018,OpACIN-fDNA-019,OpACIN-fDNA-020,OpACIN-fDNA-021,OpACIN-fDNA-022,OpACIN-fDNA-023,OpACIN-fDNA-024,OpACIN-fDNA-025,OpACIN-fDNA-026,OpACIN-fDNA-027,OpACIN-fDNA-028,OpACIN-fDNA-029,OpACIN-fDNA-030,OpACIN-fDNA-031,OpACIN-fDNA-032,OpACIN-fDNA-033,OpACIN-fDNA-034,OpACIN-fDNA-035,OpACIN-fDNA-037,OpACIN-fDNA-038,OpACIN-fDNA-039,PAUS-base16567,PAUS-base20807,PAUS-base27704,PAUS-base34671,PAUS-base35603,PAUS-base36885,PAUS-base38798,PAUS-base44051,PAUS-base48040,PAUS-base48446,PAUS-base49317,PAUS-base49623,PAUS-base50750,PAUS-base51030,PAUS-base51377,PAUS-base51517,PAUS-base51558,PAUS-base51584,PAUS-base51679,PAUS-base51771,PAUS-base51823,PAUS-base51884,PAUS-base51887,PAUS-base51902,PAUS-base52021,PAUS-base52436,PAUS-base52513,PAUS-base52521,PAUS-base52534,PAUS-base52550,PAUS-base52579,PAUS-base52729,PAUS-base52757,PradoNKIbase106,PradoNKIbase107,PradoNKIbase108,PradoNKIbase109,PradoNKIbase110,PradoNKIbase112,PradoNKIbase113,PradoNKIbase114,PradoNKIbase115,PradoNKIbase116,PradoNKIbase117,PradoNKIbase118,PradoNKIbase119,PradoNKIbase120,PradoNKIbase121,PradoNKIbase122,PradoNKIbase123,PradoNKIbase124,PradoNKIbase125,PradoNKIbase128,PradoNKIbase129,PradoNKIbase130,PradoNKIbase131,PradoNKIbase132,PradoNKIbase134,PradoNKIbase135,PradoNKIbase136,PradoNKIbase137,PradoNKIbase139,PradoNKIbase140,PradoNKIbase142,PradoNKIbase143
_methoxybenzovorans_SR3_2,Clostridium_methoxybenzovorans_SR3, methoxybenzovorans SR3,0.0029,0.0013,0.0068,0.0015,0.0047,0.0019,0.0078,0.0029,0,0,0,0.0036,0.009,0.0008,0.0074,0.0029,0.0035,0.0073,0.001,0,0.0027,0,0.006,0.0032,0.0027,0,0.0017,0.0028,0.001,0,0.0048,0,0.0045,0.0013,0.0025,0.0036,0.0017,0.0073,0.0078,0.0016,0.0015,0.0083,0,0.0004,0,0.0013,0.0022,0,0.0011,0,0.0038,0.0048,0,0,0.007,0,0,0.0009,0.0032,0.0036,0.0005,0.0046,0.001,0.0095,0.0009,0.0025,0.0003,0,0.0022,0.004,0.0016,0.0012,0.0043,0.0046,0.0059,0.0043,0.0035,0.0083,0.0006,0.0003,0,0.0048,0.0019,0.0002,0.0004,0.0006,0.0033,0.003,0.004,0.0011,0.0002,0.0024,0,0,0.0008,0.0006,0.0005,0.003,0,0.0015,0.0006,0.0017,0.0043
Coprococcus_eutactus_ATCC_27759_0,Coprococcus_eutactus_ATCC_27759,Coprococcus eutactus ATCC 27759,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,0.0062,0,0,0.0056,0.0031,0.01,0,0,0,0,0,0.01,0,0,0,0.0166,0.002,0.0459,0,0,0,0,0,0,0,0,0,0,0.005,0,0.0164,0.0008,0,0,0,0,0,0,0,0,0.0006,0,0,0,0,0,0,0.014,0.0224,0,0,0,0,0.013,0.0104,0.0005,0,0,0.0094,0.0029,0.0001,0,0.0007,0,0,0.0132,0,0.0061,0.0093,0.0092,0.0009,0,0,0,0,0,0,0,0.0002,0,0,0.014,0,0,0,0
Acidaminococcus_fermentans_DSM_20731_2,Acidaminococcus_fermentans_DSM_20731,Acidaminococcus fermentans DSM 20731,0,0,0,0,0.0224,0,0,0,0,0,0.0003,0,0.002,0,0.0037,0,0,0,0.0004,0,0,0,0.0001,0.0888,0,0,0,0,0,0,0,0.0302,0,0,0,0,0,0,0,0,0,0,0,0.0144,0.0012,0.0184,0.0077,0.0017,0,0.0152,0,0,0.0121,0,0,0,0,0,0.0212,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0.0007,0.0002,0,0.0356,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0
Bacteroides_xylanisolvens_XB1A_1,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens XB1A,0.0016,0.0025,0.0041,0,0,0.0018,0.0086,0.0049,0,0,0,0,0.0204,0.0374,0,0.0112,0,0.0114,0,0,0.0005,0.0016,0,0,0,0,0.0021,0.0086,0,0.0103,0,0.0043,0,0.0007,0.0236,0.0009,0.0207,0.004,0.0037,0,0,0,0,0,0,0,0.0069,0,0,0,0,0.0036,0.0053,0,0,0,0.0013,0,0.0109,0,0,0,0.0026,0,0,0,0.0015,0,0.0011,0,0,0.0005,0.0002,0,0,0,0.0002,0.0005,0.0003,0,0,0.002,0,0.0002,0,0.0004,0,0.0004,0.0016,0.0019,0,0.0011,0,0,0.0019,0,0,0,0.0094,0,0,0,0.0003
_lactaris_ATCC_29176_4,Ruminococcus_lactaris_ATCC_29176, lactaris ATCC 29176,0.0071,0,0.0098,0,0,0.0039,0,0.0009,0,0,0,0,0,0.0004,0.0091,0.0023,0.0068,0,0,0,0,0,0,0,0.0081,0.002,0.0024,0,0.0064,0,0.0037,0,0.0032,0.0021,0.0032,0,0,0.0136,0.0041,0,0,0,0,0.0031,0.0056,0.009,0.0038,0.0017,0,0,0,0.017,0.0027,0,0,0,0.0031,0,0,0,0.0004,0,0.0011,0,0.0042,0,0.0029,0,0,0,0.0046,0.0023,0,0.003,0,0.005,0,0,0.0003,0.0019,0.0043,0.003,0.0092,0.0004,0.0038,0,0.003,0.0001,0.0106,0.0012,0.0111,0,0.0001,0.0027,0.0062,0.0015,0.0022,0.007,0,0,0.0008,0,0.0001
Eubacterium_ramulus_ATCC_29099_0,Eubacterium_ramulus_ATCC_29099,Eubacterium ramulus ATCC 29099,0.0021,0.0019,0,0,0.0016,0,0.0061,0.0035,0,0,0,0,0.0031,0,0.0043,0.0005,0.0031,0.0002,0,0,0.0006,0,0,0.0001,0.0023,0,0,0,0.0042,0,0.0036,0.0061,0.0032,0.0017,0,0.0041,0.0044,0.0082,0.0042,0,0.0178,0,0,0.002,0.0015,0.0018,0.0025,0,0,0.0011,0.0057,0.0055,0.0065,0.0016,0.0261,0,0.0082,0.0024,0,0,0.001,0.0048,0,0,0.0002,0.0012,0.0081,0.0022,0,0,0.0015,0.0014,0.0026,0,0,0.0032,0.0008,0.0042,0.0018,0.0025,0.0062,0.0048,0.0027,0.0001,0,0.0046,0,0.002,0.0005,0,0.0014,0.0036,0.0052,0.0013,0,0.0032,0.0014,0.0023,0.002,0.0072,0,0.0077,0.001
Unidentified_Christensenellaceae_R-7_group_1,None,None,0.0059,0.0013,0,0.0016,0.0008,0,0.0029,0.0038,0,0,0,0,0,0.0073,0,0.0044,0.0016,0.0008,0,0,0.0023,0.0007,0.003,0,0.0081,0,0.0007,0.0071,0.0029,0,0.001,0,0.0083,0.0041,0,0.0023,0,0,0.0035,0,0.0078,0,0,0,0,0.002,0,0.0051,0,0,0.0013,0.0037,0,0.002,0,0,0,0.0021,0.0008,0,0.0032,0.0013,0.0065,0,0,0,0.008,0.0014,0.0039,0,0.0017,0.0037,0.0039,0.0055,0,0.0039,0.0016,0.0019,0.0007,0.0014,0,0.0016,0.0015,0.012,0.0051,0.0016,0.0012,0.0051,0,0.001,0.008,0.0032,0,0.0014,0.0029,0.0053,0.0004,0.0023,0.0017,0,0.0028,0,0.0055
_methylpentosum_10,Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,0.0025,0,0,0,0,0,0,0.003,0,0,0,0,0,0.0055,0,0,0,0,0.0151,0,0.002,0,0.0049,0,0.0018,0,0,0.0409,0.0224,0,0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499,0,0,0.0083,0,0,0.0104,0,0,0,0,0.0092,0,0.0045,0.0039,0,0,0,0,0.0051,0,0,0.001,0.0095,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.0054,0,0,0,0,0,0.0054,0,0,0.0193,0,0,0,0,0
Prevotella_stercorea_DSM_18206_0,Prevotella_stercorea_DSM_18206,Prevotella stercorea DSM 18206,0.0508,0,0,0,0.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,0,0,0.0309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172,0,0,0,0,0,0,0,0,0.0129,0,0,0.0012,0,0,0,0,0,0,0.0008,0,0.0067,0,0,0,0,0.003,0,0,0,0.0173,0,0,0,0.0005,0,0,0,0.0001,0,0,0,0.0012,0,0,0,0,0,0.0038,0,0.0077,0,0.0052,0,0,0.0006,0,0.0004
_lactaris_ATCC_29176_5,Ruminococcus_lactaris_ATCC_29176, lactaris ATCC 29176,0,0,0.0003,0,0,0,0,0,0,0.0006,0.0306,0.0073,0,0.0001,0.0036,0,0,0.0047,0,0.0093,0,0,0,0.0236,0,0.0002,0,0,0,0.0293,0,0.0023,0,0,0,0.001,0.0005,0.0018,0.0006,0.0261,0.0127,0.0006,0.0681,0.0003,0,0,0,0.001,0,0,0.0003,0,0.0222,0,0.0019,0,0.0008,0,0.0007,0.0528,0,0.0006,0,0.0026,0,0,0.0005,0.0131,0,0.0002,0,0,0,0,0.0004,0,0,0.0001,0,0,0.0001,0,0,0,0,0,0.0001,0,0.002,0,0,0,0.0054,0,0,0,0,0,0,0.0034,0,0,0
_eligens_ATCC_27750_2,Eubacterium_eligens_ATCC_27750, eligens ATCC 27750,0.0008,0.0024,0.008,0,0,0.0048,0.0008,0.0038,0,0.002,0.0115,0.0021,0.0336,0,0,0.0029,0.0027,0,0.0016,0.0133,0.0129,0.0005,0.0026,0.0023,0.0048,0.0024,0.0009,0.0001,0.0019,0,0.0023,0.002,0.0017,0.0032,0.007,0,0.0024,0.0003,0.0119,0.0013,0.003,0,0,0,0.0044,0.0055,0,0.004,0.0026,0,0.0028,0.0055,0,0,0,0,0.0004,0.0034,0,0.0006,0,0.0128,0,0,0.0018,0.004,0,0,0.0016,0.003,0.0037,0.0055,0.0014,0.0002,0.0004,0.0011,0.0004,0,0.0009,0,0.0022,0.0004,0.0038,0.0003,0.0007,0.0002,0.002,0.0001,0,0,0,0,0,0.0009,0,0.0014,0,0.0006,0.0045,0.0007,0,0.0024,0.0006
_methoxybenzovorans_SR3_3,Clostridium_methoxybenzovorans_SR3, methoxybenzovorans SR3,0.0039,0.0011,0.0013,0.0083,0,0.0005,0.0005,0,0,0.0009,0,0.0046,0.001,0.0005,0,0.0006,0.0011,0.0069,0,0,0,0,0.0025,0.0001,0.0014,0.0021,0.0011,0.0139,0.0056,0,0.0069,0.001,0.0006,0,0.001,0.0019,0.0011,0.002,0.0054,0,0.0038,0.0025,0.0009,0,0,0,0,0.0141,0.0012,0,0.0015,0.006,0.0008,0.0035,0,0,0,0,0,0,0,0,0.0053,0,0.0007,0.0098,0.0077,0.0072,0.0134,0.0117,0.004,0.0108,0.0009,0,0.0002,0.0011,0.0011,0.0004,0,0.0099,0,0.0033,0.0037,0.0004,0.003,0.0034,0.0084,0.0012,0.0004,0,0.0005,0,0.0042,0.0048,0,0,0.0009,0.0012,0.0056,0.0001,0,0,0.0011
Parasutterella_excrementihominis_YIT_11859_0,Parasutterella_excrementihominis_YIT_11859,Parasutterella excrementihominis YIT 11859,0.0011,0.0071,0.011,0.0002,0.0005,0.0044,0.0005,0.0018,0,0.0018,0,0,0.0001,0.0023,0.0001,0.0017,0,0.0006,0,0,0,0.0001,0.0008,0,0.0004,0.004,0.0059,0.0047,0.0004,0,0.0449,0,0.0079,0.0008,0.0083,0.0001,0,0.0163,0.0109,0.0003,0.0022,0.006,0,0.0006,0.0008,0.0002,0.0008,0.0018,0.0004,0.0109,0.003,0.0032,0,0.0003,0,0,0.0001,0,0.0012,0.001,0,0.0008,0.0035,0.0229,0.0002,0.001,0.0002,0.0032,0.001,0.0003,0.0004,0.0001,0,0,0.0014,0,0.0001,0.001,0,0.0051,0,0.0019,0,0,0,0.0005,0.0001,0,0.0001,0.0002,0,0.0001,0.0043,0,0.0001,0,0.0008,0.0056,0,0.0023,0,0,0
Roseburia_hominis_A2183_0,Roseburia_hominis_A2_183,Roseburia hominis A2-183,0.0013,0.0015,0,0,0.0006,0,0.0005,0.0009,0,0,0,0,0,0.001,0,0,0.0017,0.0055,0,0,0.0006,0,0.003,0,0.0002,0.0119,0.0008,0,0.0036,0,0.0021,0,0.0012,0.0022,0.0039,0.0016,0.0022,0,0.0025,0,0,0,0,0,0.0006,0,0,0,0.0026,0.0178,0,0.002,0.0012,0.0052,0,0,0,0,0.0038,0.0317,0.011,0,0.0095,0,0,0,0,0,0.0028,0.0198,0.0071,0,0,0,0.0012,0,0,0,0.0006,0.0035,0.001,0.0004,0.0068,0.0011,0.0047,0.0078,0.0007,0,0.0002,0.0013,0.004,0.0036,0.003,0.0004,0.0019,0.0063,0.0008,0.0005,0.001,0,0,0.0051,0.0072
Holdemanella_biformis_DSM_3989_0,Eubacterium_biforme_DSM_3989,Holdemanella biformis DSM 3989,0,0,0,0,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,0,0.0716,0,0,0,0,0,0.0049,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0.0068,0,0,0,0,0.0035,0.0005,0,0,0,0.0337,0,0
Coprococcus_eutactus_ATCC_27759_1,Coprococcus_eutactus_ATCC_27759,Coprococcus eutactus ATCC 27759,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0.0167,0,0,0,0,0,0,0,0.0016,0,0.0046,0.0017,0.0007,0,0,0,0,0.014,0,0,0,0,0.017,0,0,0,0,0,0.0101,0.0024,0,0,0.0163,0,0,0.0235,0,0,0,0,0,0,0,0,0.0034,0,0.0059,0,0,0,0.0022,0,0,0,0,0,0.0016,0,0,0.0012,0,0,0.006,0,0,0.0256,0.0075,0.0065,0.0123,0,0.0031,0,0,0.0018,0,0,0.0099,0.0019,0,0,0,0.008,0,0,0,0,0
Phascolarctobacterium_succinatutens_YIT_12067_0,Phascolarctobacterium_succinatutens_YIT_12067,Phascolarctobacterium succinatutens YIT 12067,0.006,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0.0306,0,0,0,0,0,0,0,0.0289,0,0,0.0041,0,0,0.0012,0,0,0.04,0,0,0.0066,0,0,0,0,0,0,0.0006,0,0,0.0047,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0.0095,0,0.007,0,0,0.0167,0,0,0,0,0,0.0023,0,0.0048,0,0,0,0.0093,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0
_gnavus_ATCC_29149_2,Ruminococcus_gnavus_ATCC_29149, gnavus ATCC 29149,0.0039,0.002,0,0.0009,0,0,0,0,0,0.0013,0,0,0,0,0.0068,0.002,0.0025,0.0031,0,0,0.0028,0,0.0004,0,0,0.0005,0.0034,0.0016,0.0016,0,0,0.0025,0,0.0003,0.0003,0.0027,0.0024,0,0.0027,0.0003,0,0,0.0027,0.0001,0.0023,0.0019,0.004,0.0016,0.0011,0,0.0068,0.0027,0.0098,0.0034,0.0022,0,0.0037,0,0.004,0,0.0014,0.0016,0.0006,0,0.0011,0.0012,0.0009,0,0,0,0.0015,0.0013,0.0003,0.004,0.0024,0.0028,0.0043,0.0019,0.0003,0.0002,0.0027,0.0002,0.0024,0.0003,0.0002,0,0.0055,0.0017,0.0004,0.0158,0.0014,0.0006,0,0.0021,0.0038,0,0.0003,0.0006,0.0015,0.0007,0.0115,0,0.0081
Coprococcus_eutactus_ATCC_27759_2,Coprococcus_eutactus_ATCC_27759,Coprococcus eutactus ATCC 27759,0,0,0,0,0.0016,0,0.0034,0.0006,0,0.0091,0,0,0.0038,0.0096,0.0012,0.0063,0,0,0.0012,0,0.0037,0.0008,0.0025,0,0.0039,0,0,0,0.002,0,0.0032,0.0009,0,0.0022,0.0013,0,0.0034,0.0012,0.0027,0,0,0,0.0066,0,0,0,0,0.0058,0,0,0,0.0022,0.0131,0.002,0,0,0.0027,0,0.0026,0,0.0062,0,0,0,0,0.0061,0,0,0.0027,0,0.0018,0.0026,0.0033,0,0,0.0018,0.0067,0.0026,0,0.0015,0.0042,0.0011,0,0.0029,0.0034,0,0.0023,0,0,0,0.0067,0,0.0147,0,0.0005,0.0018,0,0.0035,0.0016,0,0.001,0.0119,0
_lactaris_ATCC_29176_6,Ruminococcus_lactaris_ATCC_29176, lactaris ATCC 29176,0.0037,0.0007,0,0,0,0.007,0.0025,0.0026,0,0,0,0,0.0044,0.0002,0,0.0021,0.0032,0.0043,0.0029,0,0.0031,0.0014,0.0057,0,0.0049,0.0044,0.0028,0.0035,0.0024,0,0.0003,0,0,0.0033,0.0026,0,0,0,0.0004,0,0,0,0.0002,0.0028,0.0066,0,0,0.0039,0,0,0.0048,0,0.0035,0,0,0,0,0,0,0,0.0015,0,0.0033,0,0,0.006,0,0.0085,0.0007,0,0.0035,0.0054,0.0084,0.0068,0,0.0072,0.0015,0.0002,0.0002,0.006,0.0079,0.0019,0.0039,0.0018,0.0007,0,0.0066,0.0002,0.0013,0.0002,0,0.0023,0.0001,0.0023,0.0023,0.0006,0.0002,0.0029,0.0014,0.0027,0.004,0,0.0022
Phocaeicola_vulgatus_ATCC_8482_2,Bacteroides_vulgatus_ATCC_8482,Phocaeicola vulgatus ATCC 8482,0,0,0,0,0.0011,0,0.0184,0,0,0,0,0,0,0.0201,0.0013,0,0.006,0,0,0,0,0.0021,0,0,0,0,0,0.0047,0.0015,0.1433,0,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0
Butyricicoccus_pullicaecorum_1.2_0,Butyricicoccus_pullicaecorum_1_2,Butyricicoccus pullicaecorum 1.2,0.0021,0,0.0023,0,0,0.0017,0.0092,0.0026,0,0,0.0065,0.0042,0.0065,0.0017,0.0017,0.0013,0.0028,0,0,0,0.0053,0,0.0038,0.0022,0.0084,0,0.0024,0,0.0017,0.0002,0.0014,0.0016,0.0053,0,0.0045,0.0058,0.0046,0.0027,0,0,0.0021,0.0016,0,0.0017,0.0017,0.0023,0,0.004,0.0018,0,0.0025,0.0059,0,0.0034,0,0,0,0.0043,0,0.0048,0,0.0056,0,0,0,0,0.0045,0.0008,0,0.0054,0.0051,0,0.0016,0,0.0031,0.003,0,0.0009,0,0.0113,0,0.0011,0,0,0,0.0011,0.0031,0,0.0025,0,0.0019,0,0.0013,0,0,0.0068,0,0.0013,0.0061,0,0,0.0042,0.0023
Subdoligranulum_variabile_DSM_15176_0,Subdoligranulum_variabile_DSM_15176,Subdoligranulum variabile DSM 15176,0.0021,0.0023,0,0.0004,0.0009,0,0,0.0021,0,0,0,0,0,0,0,0.0021,0.0065,0.0023,0.0005,0,0.0024,0,0.0021,0,0,0.0013,0.0041,0,0.0053,0,0.004,0,0,0.0021,0.0024,0.001,0.0031,0.0039,0.0027,0,0,0,0,0.0083,0.0047,0.0035,0,0.0062,0.0003,0.0008,0,0.0088,0,0.0032,0.0029,0,0.0015,0.0036,0,0,0.0013,0,0.0027,0,0.0002,0.0041,0.0052,0,0.0064,0,0.0062,0.0031,0.005,0.006,0,0.0056,0.0018,0.0004,0,0.0041,0,0.009,0.0067,0.0005,0.0007,0,0.0012,0.004,0,0.0001,0,0.0019,0,0.0034,0.0006,0.0115,0.0004,0.0032,0.004,0,0.0004,0,0.0078
Geobacillus_stearothermophilus_ATCC_7953_0,Geobacillus_stearothermophilus_ATCC_7953,Geobacillus stearothermophilus ATCC 7953,0.003,0,0,0,0.0019,0,0,0.0008,0,0,0,0,0.0005,0,0,0,0.0065,0.0051,0,0,0,0.0016,0.0014,0.001,0,0,0.007,0,0.0066,0,0,0,0,0,0.0025,0,0.0009,0,0.0005,0,0,0,0,0,0.0023,0,0,0,0.0058,0.0096,0,0,0,0.0029,0,0,0,0,0,0,0.003,0,0.0019,0,0.0119,0,0,0,0,0,0,0.0041,0,0,0,0.0035,0.0145,0,0.0029,0,0,0,0.0056,0,0.0046,0,0,0.0077,0,0.0068,0,0.0132,0,0.0049,0,0.0029,0.004,0.0046,0,0.0003,0,0.008,0
Ruminococcus_champanellensis_18P13_JCM_17042_1,Ruminococcus_champanellensis_18P13,Ruminococcus champanellensis 18P13 = JCM 17042,0.0013,0.0055,0,0.0095,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0.0098,0.001,0,0,0.002,0.0011,0,0.0009,0,0,0.0092,0,0.0011,0,0.0056,0,0,0,0.0091,0,0,0,0,0.0083,0,0,0,0.0008,0.0108,0,0,0,0,0.0001,0,0,0.0032,0,0.0036,0.0041,0,0.0021,0,0.0167,0,0,0,0.0014,0,0.0002,0.0002,0.0006,0.0033,0,0,0.0071,0,0,0.0003,0.005,0.006,0.0034,0,0,0,0,0,0.016,0.0017,0,0.0147,0,0,0,0.0004,0.0008,0,0,0,0.0147,0,0.0007
Alistipes_shahii_WAL_8301_0,Alistipes_shahii_WAL_8301,Alistipes shahii WAL 8301,0.0008,0.0013,0.0033,0.0125,0.0006,0.0005,0.0013,0.0014,0,0,0,0.0022,0.0026,0.0034,0.001,0.0026,0.0015,0.0013,0.0046,0.0035,0.0011,0.0019,0.0011,0.0007,0.0033,0,0,0.0025,0,0,0.0108,0.0006,0.0032,0.0013,0.0044,0.0027,0,0.0013,0,0.0117,0,0,0,0.0014,0.0105,0,0,0.001,0.0011,0.0007,0,0.0008,0,0.002,0,0,0,0,0.005,0.0004,0.0008,0.0004,0.0045,0.0005,0.0035,0.0042,0.0005,0,0.0005,0.0013,0.0019,0.0009,0,0,0,0.0004,0,0.0013,0,0,0,0.0019,0.0036,0.0006,0.0038,0,0.0003,0.0006,0.0012,0.0122,0.0032,0.0007,0.0022,0.002,0.0035,0,0.0013,0.0008,0.0052,0,0,0.0004,0
_eligens_ATCC_27750_3,Eubacterium_eligens_ATCC_27750, eligens ATCC 27750,0.0012,0.0031,0,0,0,0.0084,0.0008,0.0039,0,0.0012,0,0.0013,0.0008,0.0141,0.0044,0.002,0.0045,0.0099,0.0181,0,0.0007,0.001,0,0,0.0029,0,0.0023,0.0002,0,0,0.0009,0,0.0033,0.0048,0.012,0.0274,0.0014,0.0008,0.0058,0,0.0022,0,0,0,0.0059,0,0,0,0,0,0.0051,0.0018,0,0.0054,0,0.0034,0,0,0.0025,0,0,0,0,0,0.0019,0,0.0015,0,0.0018,0,0.0004,0.0079,0.0005,0,0,0.0004,0.0016,0,0,0,0,0.0013,0,0,0.0005,0.0004,0.0012,0,0,0.0014,0.0009,0.0016,0,0.0012,0,0,0.007,0.0004,0.0008,0,0,0,0.0003
Bacteroides_fluxus_YIT_12057_2,Bacteroides_fluxus_YIT_12057,Bacteroides fluxus YIT 12057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0.0117,0.0575,0,0,0,0,0,0,0.0271,0.0374,0,0,0,0,0,0,0,0.0369,0,0,0,0,0.0321,0,0,0,0,0,0.0307,0.0354,0,0.0024,0,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0.0041,0,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_intestinalis_0,Bacteroides_intestinalis_341_DSM_17393,Bacteroides intestinalis,0,0.0205,0,0,0,0,0,0,0,0,0,0.002,0,0.0059,0,0.0011,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.0468,0,0.0461,0,0,0,0,0,0,0,0,0,0,0.0022,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,0,0,0.0001,0,0,0,0.0001,0,0.0009,0,0,0,0,0,0,0.0009,0.0001,0,0.0154,0.0016,0.0046,0,0.0008,0,0,0.0012,0,0.0007,0,0,0,0
Bacteroides_fragilis_NCTC_9343_0,Bacteroides_fragilis_NCTC_9343,Bacteroides fragilis NCTC 9343,0.0012,0,0,0,0,0,0,0,0,0.0222,0.0015,0.0003,0.0068,0.0004,0,0.0002,0,0,0,0.0471,0,0,0,0,0.0062,0,0.0045,0.0039,0,0,0.002,0.0002,0.0003,0,0.0013,0.0018,0,0.0012,0,0,0,0.0017,0,0,0,0,0.0081,0.0073,0,0.0057,0.0025,0,0,0,0,0.0021,0.0014,0,0.0042,0,0,0,0,0.0069,0.0062,0,0.0015,0,0,0,0,0,0,0,0.0269,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0.0003,0,0,0,0.0082,0.0001,0,0,0
Terrisporobacter_glycolicus_ATCC_14880_DSM_1288_2,Clostridium_glycolicum_ATCC_14880,Terrisporobacter glycolicus ATCC 14880 = DSM 1288,0.0054,0.0013,0.0009,0,0,0.0019,0,0,0,0.0003,0,0,0,0.0012,0.0002,0,0,0,0,0,0.0003,0,0.0121,0.0002,0,0,0,0,0,0,0,0,0.0011,0,0.0077,0.0024,0,0,0.0013,0,0,0,0,0,0.0027,0.026,0,0.0019,0.0005,0,0,0,0,0.0004,0,0,0,0,0,0,0.0065,0,0.0015,0,0.0072,0.0029,0,0.0092,0,0,0.0301,0,0,0,0,0.0142,0.0002,0,0,0,0,0,0,0.0023,0.0006,0,0.0058,0,0,0,0,0,0,0.0048,0.0001,0.0209,0.0095,0,0.0064,0,0,0.0011,0
Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_3,Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,0.0004,0.0005,0,0.0013,0.0004,0,0,0.0003,0,0,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0.0013,0,0.0001,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0.0004,0,0.0005,0,0,0,0,0,0.0024,0,0,0.0032,0,0.0081,0,0.0005,0,0,0,0.0006,0,0,0.0003,0,0.0003,0,0,0.0004,0,0,0.0013,0.0003,0.0082,0.0017,0,0,0,0,0,0,0.0524,0,0.0006,0,0,0,0,0.0154,0.0005,0,0,0,0.0006,0
