AGORA Model Name,TaxTree/NCBI ID,Tag,OpACIN-fDNA-001,OpACIN-fDNA-002,OpACIN-fDNA-003,OpACIN-fDNA-004,OpACIN-fDNA-005,OpACIN-fDNA-006,OpACIN-fDNA-007,OpACIN-fDNA-008,OpACIN-fDNA-009,OpACIN-fDNA-010,OpACIN-fDNA-011,OpACIN-fDNA-012,OpACIN-fDNA-013,OpACIN-fDNA-014,OpACIN-fDNA-015,OpACIN-fDNA-016,OpACIN-fDNA-017,OpACIN-fDNA-018,OpACIN-fDNA-019,OpACIN-fDNA-020,OpACIN-fDNA-021,OpACIN-fDNA-022,OpACIN-fDNA-023,OpACIN-fDNA-024,OpACIN-fDNA-025,OpACIN-fDNA-026,OpACIN-fDNA-027,OpACIN-fDNA-028,OpACIN-fDNA-029,OpACIN-fDNA-030,OpACIN-fDNA-031,OpACIN-fDNA-032,OpACIN-fDNA-033,OpACIN-fDNA-034,OpACIN-fDNA-035,OpACIN-fDNA-037,OpACIN-fDNA-038,OpACIN-fDNA-039,PAUS-base16567,PAUS-base20807,PAUS-base27704,PAUS-base34671,PAUS-base35603,PAUS-base36885,PAUS-base38798,PAUS-base44051,PAUS-base48040,PAUS-base48446,PAUS-base49317,PAUS-base49623,PAUS-base50750,PAUS-base51030,PAUS-base51377,PAUS-base51517,PAUS-base51558,PAUS-base51584,PAUS-base51679,PAUS-base51771,PAUS-base51823,PAUS-base51884,PAUS-base51887,PAUS-base51902,PAUS-base52021,PAUS-base52436,PAUS-base52513,PAUS-base52521,PAUS-base52534,PAUS-base52550,PAUS-base52579,PAUS-base52729,PAUS-base52757,PradoNKIbase106,PradoNKIbase107,PradoNKIbase108,PradoNKIbase109,PradoNKIbase110,PradoNKIbase112,PradoNKIbase113,PradoNKIbase114,PradoNKIbase115,PradoNKIbase116,PradoNKIbase117,PradoNKIbase118,PradoNKIbase119,PradoNKIbase120,PradoNKIbase121,PradoNKIbase122,PradoNKIbase123,PradoNKIbase124,PradoNKIbase125,PradoNKIbase128,PradoNKIbase129,PradoNKIbase130,PradoNKIbase131,PradoNKIbase132,PradoNKIbase134,PradoNKIbase135,PradoNKIbase136,PradoNKIbase137,PradoNKIbase139,PradoNKIbase140,PradoNKIbase142,PradoNKIbase143
Geobacillus_stearothermophilus_ATCC_7953,Geobacillus stearothermophilus ATCC 7953,Geobacillus_stearothermophilus_ATCC_7953_0,239,0,0,0,232,0,0,85,0,0,0,0,41,0,0,0,388,477,0,0,0,160,145,70,0,0,681,0,594,0,0,0,0,0,254,0,96,0,21,0,0,0,0,0,117,0,0,0,301,451,0,0,0,145,0,0,0,0,0,0,144,0,87,0,601,0,0,0,0,0,0,382,0,0,0,423,1530,0,496,0,0,0,714,0,597,0,0,1178,0,1530,0,2204,0,703,0,455,576,676,0,60,0,1173,0
Ruminococcus_champanellensis_18P13,Ruminococcus champanellensis 18P13 = JCM 17042,Ruminococcus_champanellensis_18P13_JCM_17042_1,102,497,0,862,33,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,994,103,0,0,169,106,0,78,0,0,921,0,82,0,466,0,0,0,364,0,0,0,0,424,0,0,0,40,509,0,0,0,0,4,0,0,97,0,183,197,0,92,0,846,0,0,0,67,0,6,17,67,292,0,0,749,0,0,32,672,647,440,0,0,0,0,0,2388,385,0,2463,0,0,0,64,111,0,0,0,2079,0,108
Alistipes_shahii_WAL_8301,Alistipes shahii WAL 8301,Alistipes_shahii_WAL_8301_0,60,115,338,1130,80,34,167,144,0,0,0,156,229,310,129,282,89,119,516,313,99,190,109,50,308,0,0,251,0,0,1182,59,275,98,447,221,0,124,0,466,0,0,0,56,535,0,0,41,56,32,0,42,0,99,0,0,0,0,256,21,39,21,202,30,176,226,27,0,24,56,64,84,0,0,0,49,0,215,0,0,0,205,454,92,483,0,48,92,182,2764,519,110,330,287,691,0,183,113,879,0,0,52,0
Eubacterium_eligens_ATCC_27750, eligens ATCC 27750,_eligens_ATCC_27750_3,92,279,0,0,0,539,101,408,0,109,0,91,70,1286,550,226,267,923,2041,0,61,99,0,0,265,0,226,24,0,0,100,0,280,377,1214,2268,162,82,253,0,106,0,0,0,299,0,0,0,0,0,309,92,0,269,0,229,0,0,128,0,0,0,0,0,98,0,81,0,86,0,13,730,60,0,0,51,173,0,0,0,0,137,0,0,68,67,194,0,0,310,147,268,0,172,0,0,1002,61,131,0,0,0,39
Bacteroides_fluxus_YIT_12057,Bacteroides fluxus YIT 12057,Bacteroides_fluxus_YIT_12057_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,1277,5742,0,0,0,0,0,0,1174,1491,0,0,0,0,0,0,0,1528,0,0,0,0,1157,0,0,0,0,0,1585,1807,0,130,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,527,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_intestinalis_341_DSM_17393,Bacteroides intestinalis,Bacteroides_intestinalis_0,0,1849,0,0,0,0,0,0,0,0,0,146,0,543,0,123,0,0,0,0,0,0,0,0,0,80,0,0,0,0,5115,0,3937,0,0,0,0,0,0,0,0,0,0,89,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,6,0,0,0,10,0,98,0,0,0,0,0,0,157,14,0,3488,263,763,0,119,0,0,169,0,126,0,0,0,0
Bacteroides_fragilis_NCTC_9343,Bacteroides fragilis NCTC 9343,Bacteroides_fragilis_NCTC_9343_0,99,0,0,0,0,0,0,0,0,1986,166,21,602,39,0,27,0,0,0,4234,0,0,0,0,574,0,441,380,0,0,218,21,28,0,128,148,0,121,0,0,0,57,0,0,0,0,372,303,0,269,153,0,0,0,0,138,76,0,216,0,0,0,0,399,312,0,82,0,0,0,0,0,0,0,3579,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,65,0,0,0,1383,19,0,0,0
Clostridium_glycolicum_ATCC_14880,Terrisporobacter glycolicus ATCC 14880 = DSM 1288,Terrisporobacter_glycolicus_ATCC_14880_DSM_1288_2,429,119,86,0,0,120,0,0,0,31,0,0,0,109,28,0,0,0,0,0,25,0,1223,12,0,0,0,0,0,0,0,0,94,0,779,198,0,0,58,0,0,0,0,0,137,1236,0,78,24,0,0,0,0,18,0,0,0,0,0,0,317,0,68,0,364,156,0,460,0,0,1005,0,0,0,0,1699,20,0,0,0,0,0,0,372,82,0,985,0,0,0,6,0,0,684,22,3309,1363,0,1077,0,0,161,0
Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_3,29,44,0,117,48,0,0,30,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,103,0,12,0,0,0,0,0,0,0,0,37,0,0,0,0,17,0,23,0,0,0,0,0,71,0,0,157,0,365,0,24,0,0,0,28,0,0,24,0,30,0,0,43,0,0,140,41,885,223,0,0,0,0,0,0,11845,0,94,0,0,0,0,2201,74,0,0,0,92,0
Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_4,580,438,0,55,17,0,0,37,0,0,0,0,0,129,0,0,0,21,4,0,0,221,12,0,0,119,96,0,73,0,0,0,0,264,42,25,0,0,0,0,0,0,0,0,90,16,0,0,241,270,0,0,0,0,0,0,0,223,0,0,16,0,285,0,186,0,0,0,0,0,41,4022,143,279,0,261,485,11,144,166,0,443,77,0,93,0,0,1111,7,4177,286,395,27,164,268,51,335,81,0,0,0,0,83
Blautia_wexlerae_DSM_19850,Blautia wexlerae DSM 19850,Blautia_wexlerae_DSM_19850_1,0,1275,0,0,0,0,0,237,0,0,0,0,0,201,0,0,0,0,0,0,0,0,183,149,336,620,126,0,129,0,0,0,0,266,0,289,0,0,0,0,0,0,84,0,539,73,0,0,121,0,0,76,0,0,0,0,0,0,0,0,206,0,0,0,105,0,0,755,98,0,188,111,459,714,0,250,850,158,91,226,0,0,388,579,388,2725,300,543,0,92,1063,209,0,301,473,257,184,0,0,0,0,0,150
Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_5,0,45,0,0,0,52,0,0,0,0,0,0,0,0,0,0,336,0,0,0,125,0,45,136,0,0,213,0,45,0,0,938,0,32,0,462,0,0,0,71,0,0,0,0,118,196,0,0,0,833,0,75,0,64,0,0,0,0,0,9,29,0,0,0,866,156,0,0,51,0,0,127,67,38,0,155,0,0,642,497,0,148,0,143,0,88,0,33,0,2816,0,103,0,679,2489,0,904,0,2280,0,23,153,0
Blautia_hansenii_VPI_C7_24_DSM_20583,Blautia hansenii DSM 20583,Blautia_hansenii_DSM_20583_1,199,79,0,0,247,109,0,282,0,15,0,0,31,96,0,78,348,190,177,0,79,0,93,8,3879,0,920,650,0,0,44,0,54,284,112,590,80,0,85,0,0,0,21,276,0,0,0,0,46,109,101,219,0,0,0,0,0,0,0,0,52,77,62,23,0,131,88,0,104,0,45,30,318,130,0,189,271,104,179,29,435,134,131,10,143,133,793,337,0,103,286,140,149,246,317,251,22,166,340,0,275,0,496
Eggerthella_lenta_DSM_2243,Eggerthella lenta DSM 2243,Eggerthella_lenta_DSM_2243_0,0,268,168,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,406,0,0,0,0,140,0,0,0,0,54,0,0,0,0,0,0,0,0,0,228,283,0,0,0,0,0,0,0,53,0,0,266,359,0,0,363,0,0,0,0,0,110,862,669,202,0,223,0,0,0,128,0,0,440,0,0,0,0,464,613,649,811,1659,128,0,0,878,1291,1026,374,1122,28,0,748
Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_6,94,0,152,475,43,46,1451,503,0,133,0,0,27,0,0,0,0,0,48,0,45,57,613,0,48,496,0,0,30,0,0,179,181,532,0,0,0,0,31,0,0,0,63,0,47,210,0,0,0,45,0,0,0,0,0,0,0,138,0,0,145,0,0,0,37,385,0,0,28,0,51,0,48,0,0,55,190,72,1081,364,69,83,0,81,133,2010,12,263,697,0,0,53,0,253,725,60,136,153,1515,0,145,1425,0
Bacteroides_eggerthii_DSM_20697,Bacteroides eggerthii DSM 20697,Bacteroides_eggerthii_DSM_20697_0,0,0,0,0,14,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,776,67,0,0,0,553,0,0,0,0,0,0,0,3973,0,0,0,0,0,163,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,4702,34,573,224,74,0,0,0,465,228,0,1255,0,26,0,18,0,0,0,509,307,0,0,0,0,157,0,865,0,192,110,0,0,0,0,0,0,0,40,0,0,0,0,0,8
Ruminococcus_callidus_ATCC_2776001,Ruminococcus callidus ATCC 27760,Ruminococcus_callidus_ATCC_27760_0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,23,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,329,0,0,0,0,0,0,674,0,0,622,4,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,135,514,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,8588,0,0,130,2023,25,0,0,0,397,0,0,0,0,0,0,366,166,0
Eubacterium_eligens_ATCC_27750, eligens ATCC 27750,_eligens_ATCC_27750_4,137,93,0,0,0,113,359,264,0,0,0,100,0,834,0,152,269,341,0,0,88,0,1112,0,265,126,0,0,16,0,98,75,200,193,235,657,92,0,79,0,0,50,0,0,0,0,0,0,0,100,0,196,0,604,0,792,10,64,0,0,47,0,0,18,0,0,54,0,292,0,0,539,84,61,0,253,498,0,65,38,0,0,1989,47,0,109,744,167,0,452,135,199,84,226,0,58,90,214,1267,38,0,0,80
Bacteroides_clarus_YIT_12056,Bacteroides clarus YIT 12056,Bacteroides_clarus_YIT_12056_0,15,0,0,0,55,0,1987,0,0,0,0,0,0,0,28,0,0,0,205,3878,0,0,24,1686,0,88,0,1677,70,0,0,0,98,0,247,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,173,0,0,0,0,0,0,17,0,0,0,0,0,899,21,203,0,204,13,15,0,0,19,0,0,18,0,0,1499,0,0,171,399,8,202,209,75,0,287,0,0,0,16,0,687,0,0,0,0
Alistipes_finegoldii_DSM_17242,Alistipes finegoldii DSM 17242,Alistipes_finegoldii_DSM_17242_1,452,132,112,62,55,0,19,67,27,0,0,530,593,51,99,370,0,529,123,507,110,58,29,0,0,794,731,585,21,0,0,366,0,178,96,833,962,0,0,94,0,0,0,19,212,10,0,153,0,131,431,724,216,30,15,0,0,0,53,0,26,46,544,0,49,84,13,0,230,95,0,77,29,0,164,0,490,52,106,36,0,44,15,72,419,126,0,36,49,91,60,0,97,340,148,0,37,22,780,44,33,0,28
Ruminococcus_champanellensis_18P13,Ruminococcus champanellensis 18P13 = JCM 17042,Ruminococcus_champanellensis_18P13_JCM_17042_2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,285,0,0,0,0,461,0,501,0,0,596,664,72,0,0,0,0,71,0,0,0,0,111,0,0,0,0,0,0,312,0,0,25,0,0,188,0,0,0,0,0,30,0,0,0,0,0,0,0,0,127,0,128,0,161,0,0,1127,706,0,913,0,0,0,0,482,0,762,11,1692,1232,484,0,0,0,0,0,0,1268,0,628,684,833,0,0,0,0
Clostridium_hylemonae_DSM_15053, hylemonae DSM 15053,_hylemonae_DSM_15053_1,157,157,448,0,198,17,85,56,0,0,0,279,114,49,123,149,32,154,116,0,75,209,16,154,101,76,178,144,35,0,63,237,50,38,236,57,184,174,23,0,162,0,82,26,97,44,78,89,0,53,52,22,221,57,194,0,199,0,75,0,100,132,72,92,108,14,6,108,45,219,38,127,107,198,182,100,226,311,339,35,192,86,146,257,439,38,447,117,398,365,543,733,0,255,87,463,135,200,154,507,333,72,407
Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_7,87,5,0,0,0,0,0,27,0,0,0,0,0,242,0,0,4,0,0,0,0,33,42,4,0,0,0,0,353,0,0,0,0,196,41,0,0,0,0,0,0,0,0,0,18,0,0,0,12,0,0,0,0,0,0,0,0,86,0,0,26,0,103,0,57,224,0,0,71,919,28,315,16,45,0,155,30,0,0,2818,0,4890,2264,223,137,0,0,27,0,229,0,183,0,14,0,0,206,22,185,7,0,0,133
Ruminococcus_gnavus_ATCC_29149, gnavus ATCC 29149,_gnavus_ATCC_29149_3,50,31,0,0,70,64,256,103,0,0,0,0,0,169,68,140,0,0,160,0,0,142,67,60,197,0,237,0,96,0,0,0,0,0,0,90,438,0,46,141,0,54,107,15,32,0,113,69,0,135,0,22,0,44,0,0,630,20,79,357,33,626,25,0,87,0,0,46,0,0,58,37,86,137,0,83,1019,289,0,21,148,39,101,175,198,107,138,185,299,43,1036,650,1577,200,1138,496,47,99,93,0,492,0,213
Paraprevotella_clara_YIT_11840,Paraprevotella clara YIT 11840,Paraprevotella_clara_YIT_11840_0,0,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,118,0,0,239,0,0,611,54,561,100,0,0,7611,361,224,0,0,0,115,93,0,13,0,28,0,0,0,7,302,0,0,15,0,106
Ruminococcus_champanellensis_18P13,Ruminococcus champanellensis 18P13 = JCM 17042,Ruminococcus_champanellensis_18P13_JCM_17042_3,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,1296,0,0,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,1643,0,433,2100,102,0,0,0,7,0,0,0,0,0,1010,0,0,393,0,0,0,158,0,0,0,0,0,0,0,0,2553,0,0,0,0
Clostridium_perfringens_ATCC_13124,Clostridium perfringens ATCC 13124,Clostridium_perfringens_ATCC_13124_2,206,80,0,0,0,0,0,274,0,0,0,0,0,7,0,0,0,65,0,0,0,132,0,0,0,60,0,0,70,0,0,0,0,116,5,7,0,0,0,0,0,0,0,0,152,14,0,0,30,308,0,0,0,0,0,0,0,32,0,0,410,0,634,0,971,41,12,0,89,0,18,74,7,21,0,0,1252,0,0,401,0,206,456,555,0,732,16,54,0,1607,5,2197,443,0,829,0,1078,2,102,0,0,0,192
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Gordonibacter pamelaeae,Gordonibacter_pamelaeae_0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,48,0,0,0,190,112,0,0,0,0,0,395,0,0,312,0,96,264,623,0,0,0,0,0,0,0,347,45,0,0,0,57,0,0,0,0,72,0,0,0,94,0,0,171,0,0,0,225,0,0,703,0,339,53,264,163,276,0,93,475,0,0,0,0,0,57,192,0,0,0,379,89,395,1811,737,613,373,0,830,379,750,0,402,399,0,345
Prevotella_copri_CB7_DSM_18205,Prevotella copri,Prevotella_copri_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,3847,0,0,141,0,0,0,0,0,0,0,0,0,0,419,113,0,0,1222,0,0,0,948,0,0,1926,0,861,0,0,572,0,0,0,0,0,0,0,396,10,0,0,0,0,0,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor capillosus ATCC 29799,Pseudoflavonifractor_capillosus_ATCC_29799_0,0,264,0,0,0,0,196,0,0,380,0,291,97,193,121,282,228,0,296,170,94,221,69,0,166,290,332,188,217,0,335,326,128,81,0,218,154,217,83,73,259,0,0,45,0,169,0,172,177,422,65,0,0,61,0,0,239,0,0,171,0,62,143,0,0,89,158,0,62,0,0,0,153,229,171,0,442,247,0,430,0,0,0,412,0,159,0,369,760,498,0,0,365,0,0,0,545,217,265,0,0,0,0
Clostridium_methoxybenzovorans_SR3, methoxybenzovorans SR3,_methoxybenzovorans_SR3_4,0,0,214,0,0,0,120,0,0,0,301,169,360,0,1286,0,0,0,0,233,0,0,0,778,0,0,0,0,0,4412,100,225,0,0,0,24,38,45,0,249,24,226,29,12,0,0,110,49,0,0,60,0,343,0,249,0,0,0,34,436,0,42,0,488,0,0,0,161,0,0,0,0,0,0,122,0,0,72,0,0,105,0,0,14,0,48,27,0,103,0,0,0,121,0,0,0,0,0,0,1610,0,0,44
Subdoligranulum_variabile_DSM_15176,Subdoligranulum variabile DSM 15176,Subdoligranulum_variabile_DSM_15176_1,65,417,0,0,0,0,248,433,1519,0,0,0,73,0,0,281,60,0,414,0,228,0,226,23,146,22,268,0,267,0,0,0,122,58,346,157,0,188,91,0,0,0,0,0,112,55,0,0,0,0,0,31,0,83,27,0,80,0,46,0,0,619,294,0,53,48,175,374,114,0,99,118,483,0,0,475,140,319,0,0,0,0,207,0,259,62,947,259,0,176,0,54,0,132,128,221,0,141,506,0,296,0,252
Clostridium_celatum_DSM_1785,Clostridium celatum DSM 1785,Clostridium_celatum_DSM_1785_0,198,785,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,43,0,633,0,0,0,0,0,0,0,302,0,0,118,0,0,0,93,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,33,284,0,0,544,0,0,0,0,0,323,0,0,0,549,0,0,1173,321,652,182,52,313,238,94,0,0,0,0,0,0,0,0,74,194,1044,0,3532,0,0,9,100
Clostridium_cellobioparum_DSM_1351,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_8,65,368,0,476,88,6,0,102,0,0,0,0,0,500,0,23,0,150,30,0,33,669,44,23,0,199,461,177,74,0,0,118,118,136,0,23,0,0,19,0,0,0,0,0,540,165,0,0,97,152,0,51,0,112,0,0,0,86,0,0,89,0,93,0,210,238,43,0,0,0,43,97,21,38,0,65,1002,0,693,486,0,51,111,145,171,740,0,55,0,676,0,378,279,228,1032,94,246,67,62,0,0,219,53
Eubacterium_rectale_ATCC_33656, rectale ATCC 33656,_rectale_ATCC_33656_3,83,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,10,0,0,0,22,0,0,170,71,223,0,141,0,55,0,0,10,123,0,0,150,855,0,0,0,0,0,115,0,0,6,177,0,0,181,0,0,0,0,0,33,0,0,0,0,183,0,45,588,0,0,104,969,0,24,1334,16,16,144,116,374,0,904,653,8,491,0,0,232,0,372,55,56,0,86,249,0,37,16,0,145,23,0,20,25,2143
Slackia_exigua_ATCC_700122,Slackia exigua ATCC 700122,Slackia_exigua_ATCC_700122_0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,107,0,0,73,0,0,0,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,13,0,0,0,83,0,0,0,0,0,0,262,112,0,0,0,0,87,669,235,364,0,127,256,0,0,0,0,263,232,748,680,0,396,439,320,0,728,436,623,168,0,1603,774,524,0,0,213,3,0
Blautia_hansenii_VPI_C7_24_DSM_20583,Blautia hansenii DSM 20583,Blautia_hansenii_DSM_20583_2,0,0,0,0,0,72,595,656,0,0,0,0,1516,64,0,374,0,0,868,0,142,0,0,0,0,0,0,0,0,0,1568,0,0,125,0,1188,0,0,197,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1707,0,0,0,736,1248,0,0,0,0,0,0,0,0,0,0,6,756,0,0,0,0,0,0,0,0,0,0,441
Desulfovibrio_piger_ATCC_29098,Desulfovibrio piger ATCC 29098,Desulfovibrio_piger_ATCC_29098_0,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,383,0,809,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,1078,0,0,0,12,0,0,0,0,0,0,775,0,0,0,0,942,0,0,0,21,0,198,0,0,0,0,0,0,0,0,191,0,0,1647,0,0,293,0,0,0,0,2170,0,791,0,0,102,0,674
Marvinbryantia_formatexigens_I_52_DSM_14469,Marvinbryantia formatexigens,Marvinbryantia_formatexigens_0,116,154,0,441,110,61,67,122,0,0,0,0,29,167,31,0,166,0,98,84,77,72,149,105,42,0,118,0,175,0,82,0,170,162,127,92,45,0,0,0,0,0,88,80,42,31,0,0,14,63,22,55,0,28,0,0,103,99,0,0,183,80,110,0,82,48,0,0,0,0,0,154,272,187,0,190,234,85,78,169,166,261,192,307,324,361,274,505,269,412,537,535,28,128,151,469,76,171,542,168,348,321,149
Veillonella_dispar_ATCC_17748,Veillonella dispar ATCC 17748,Veillonella_dispar_ATCC_17748_0,0,0,8258,0,127,2009,0,0,0,0,0,0,43,0,0,0,0,44,65,133,0,0,211,75,0,0,0,0,0,27,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor capillosus ATCC 29799,Pseudoflavonifractor_capillosus_ATCC_29799_1,145,82,0,814,0,0,0,89,0,0,0,280,0,186,0,0,17,99,23,0,14,17,0,0,11,183,124,46,168,0,0,31,0,180,0,45,0,191,39,0,0,0,0,0,119,21,0,0,34,0,0,190,0,27,2,0,0,234,0,0,37,0,202,0,76,103,49,73,0,0,12,276,32,42,0,41,265,0,281,385,0,222,489,151,101,689,12,258,491,758,944,1197,259,58,103,18,165,63,232,0,0,16,521
Blautia_obeum_ATCC_29174,Blautia obeum ATCC 29174,Blautia_obeum_ATCC_29174_4,309,338,0,86,132,128,261,200,0,0,0,0,41,18,0,44,128,0,140,0,196,0,126,0,0,189,190,9,338,0,36,110,0,175,234,68,0,102,0,0,112,0,86,78,0,108,42,0,0,83,52,96,0,81,33,0,0,40,70,0,49,0,153,0,28,199,87,0,93,0,106,151,519,238,0,454,377,151,126,105,404,170,156,142,343,464,428,326,61,49,0,71,113,370,134,177,52,130,678,0,0,230,211
Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor capillosus ATCC 29799,Pseudoflavonifractor_capillosus_ATCC_29799_2,178,499,0,482,237,3,405,204,0,0,0,0,0,0,0,0,21,0,0,0,0,0,19,0,0,226,0,0,99,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,40,0,0,14,35,212,0,134,0,0,0,0,0,169,0,0,10,0,318,0,0,131,105,0,183,0,0,14,45,223,0,108,671,0,460,216,0,529,354,275,164,600,840,243,281,93,106,442,341,122,465,184,225,198,355,0,0,0,496
Clostridium_perfringens_ATCC_13124,Clostridium perfringens ATCC 13124,Clostridium_perfringens_ATCC_13124_3,39,0,0,1108,0,0,0,84,0,0,0,0,0,0,0,0,0,107,78,0,0,0,0,0,0,151,710,28,70,0,620,0,0,57,43,72,0,0,0,0,0,0,0,0,851,0,0,0,12,235,0,0,0,0,0,0,0,51,0,0,16,0,99,0,204,116,0,0,9,0,37,42,4,17,0,0,176,0,0,1600,0,27,735,0,0,313,77,46,0,288,0,1461,1610,254,0,0,324,0,0,0,0,7,49
Bifidobacterium_animalis_lactis_DSM_10140,None,Bifidobacterium_animalis_lactis_DSM_10140_0,0,0,0,0,0,0,0,1779,89,0,0,0,0,76,0,0,0,0,0,0,56,0,0,0,0,6,0,0,0,0,0,2668,0,0,1301,0,0,0,0,0,125,0,0,0,0,0,0,0,46,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,4688,0,507,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
Sutterella_parvirubra_YIT_11816,Sutterella parvirubra YIT 11816,Sutterella_parvirubra_YIT_11816_0,118,0,0,0,63,0,262,103,0,0,1240,0,0,0,67,416,0,317,0,0,1461,43,48,52,1500,0,0,0,71,0,0,0,0,274,0,5,253,0,0,135,14,0,0,0,10,12,741,56,0,0,782,0,0,97,0,1364,0,0,256,65,0,0,0,0,0,219,0,0,414,40,0,0,117,0,0,0,0,0,10,0,0,166,0,0,0,52,0,0,143,140,0,0,0,106,0,0,0,0,386,0,0,0,0
Streptococcus_cristatus_ATCC_51100,Streptococcus cristatus ATCC 51100,Streptococcus_cristatus_ATCC_51100_1,124,198,172,0,411,301,77,0,0,827,24,45,0,966,37,43,39,92,233,0,0,13,115,265,129,0,316,0,25,70,0,93,53,0,17,35,0,142,0,0,176,0,33,0,50,26,0,0,53,118,27,103,0,0,0,0,0,0,18,44,0,44,0,0,34,97,204,97,99,0,19,0,73,86,13,58,0,32,115,0,32,0,0,14,27,25,0,43,372,0,129,47,25,77,222,22,1304,16,21,2471,0,0,0
